Name server;Flags;Domain name;TTL;Record type;Type;IP address;Query time
Google;qr rd ra;universitadipavia.it.;3120;MX;10;ASPMX2.GOOGLEMAIL.COM.;56
Google;qr rd ra;universitadipavia.it.;3120;MX;5;ALT2.ASPMX.L.GOOGLE.COM.;56
Google;qr rd ra;universitadipavia.it.;3120;MX;10;ASPMX5.GOOGLEMAIL.COM.;56
Google;qr rd ra;universitadipavia.it.;3120;MX;10;ASPMX3.GOOGLEMAIL.COM.;56
Google;qr rd ra;universitadipavia.it.;3120;MX;10;ASPMX4.GOOGLEMAIL.COM.;56
Google;qr rd ra;universitadipavia.it.;3120;MX;5;ALT1.ASPMX.L.GOOGLE.COM.;56
Google;qr rd ra;universitadipavia.it.;3120;MX;1;ASPMX.L.GOOGLE.COM.;56
Quad9qr;rd ra;universitadipavia.it.;3600;MX;10;ASPMX3.GOOGLEMAIL.COM.;116
Quad9qr;rd ra;universitadipavia.it.;3600;MX;10;ASPMX4.GOOGLEMAIL.COM.;116
Quad9qr;rd ra;universitadipavia.it.;3600;MX;5;ALT2.ASPMX.L.GOOGLE.COM.;116
Quad9qr;rd ra;universitadipavia.it.;3600;MX;10;ASPMX5.GOOGLEMAIL.COM.;116
Quad9qr;rd ra;universitadipavia.it.;3600;MX;10;ASPMX2.GOOGLEMAIL.COM.;116
Quad9qr;rd ra;universitadipavia.it.;3600;MX;1;ASPMX.L.GOOGLE.COM.;116
Quad9qr;rd ra;universitadipavia.it.;3600;MX;5;ALT1.ASPMX.L.GOOGLE.COM.;116
OpenDNS;qr rd ra;universitadipavia.it.;3600;MX;1;aspmx.l.google.com.;60
OpenDNS;qr rd ra;universitadipavia.it.;3600;MX;5;alt1.aspmx.l.google.com.;60
OpenDNS;qr rd ra;universitadipavia.it.;3600;MX;5;alt2.aspmx.l.google.com.;60
OpenDNS;qr rd ra;universitadipavia.it.;3600;MX;10;aspmx2.googlemail.com.;60
OpenDNS;qr rd ra;universitadipavia.it.;3600;MX;10;aspmx3.googlemail.com.;60
OpenDNS;qr rd ra;universitadipavia.it.;3600;MX;10;aspmx4.googlemail.com.;60
OpenDNS;qr rd ra;universitadipavia.it.;3600;MX;10;aspmx5.googlemail.com.;60
Comodo Secure DNS;qr rd ra;universitadipavia.it.;3600;MX;10;ASPMX5.GOOGLEMAIL.COM.;116
Comodo Secure DNS;qr rd ra;universitadipavia.it.;3600;MX;10;ASPMX4.GOOGLEMAIL.COM.;116
Comodo Secure DNS;qr rd ra;universitadipavia.it.;3600;MX;1;ASPMX.L.GOOGLE.COM.;116
Comodo Secure DNS;qr rd ra;universitadipavia.it.;3600;MX;5;ALT1.ASPMX.L.GOOGLE.COM.;116
Comodo Secure DNS;qr rd ra;universitadipavia.it.;3600;MX;10;ASPMX2.GOOGLEMAIL.COM.;116
Comodo Secure DNS;qr rd ra;universitadipavia.it.;3600;MX;10;ASPMX3.GOOGLEMAIL.COM.;116
Comodo Secure DNS;qr rd ra;universitadipavia.it.;3600;MX;5;ALT2.ASPMX.L.GOOGLE.COM.;116
University of Pavia;qr aa rd;universitadipavia.it.;3600;MX;10;ASPMX5.GOOGLEMAIL.COM.;76
University of Pavia;qr aa rd;universitadipavia.it.;3600;MX;10;ASPMX4.GOOGLEMAIL.COM.;76
University of Pavia;qr aa rd;universitadipavia.it.;3600;MX;1;ASPMX.L.GOOGLE.COM.;76
University of Pavia;qr aa rd;universitadipavia.it.;3600;MX;10;ASPMX2.GOOGLEMAIL.COM.;76
University of Pavia;qr aa rd;universitadipavia.it.;3600;MX;5;ALT1.ASPMX.L.GOOGLE.COM.;76
University of Pavia;qr aa rd;universitadipavia.it.;3600;MX;10;ASPMX3.GOOGLEMAIL.COM.;76
University of Pavia;qr aa rd;universitadipavia.it.;3600;MX;5;ALT2.ASPMX.L.GOOGLE.COM.;76